Sketchy Pattern,+$105,/product/art/MIN-PJW-DNA/sketchy-pattern?color=A&art_group=art_print&greeting=,N/A,images/Sketchy_Pattern.jpg,"Rich Black Wood Frame, Natural Raw Wood Frame, Light Gray Wood Frame, Walnut Wood Frame, Whitewashed Herringbone, Brushed Silver, Champagne Silver, Matte Brass, Gilded Wood Frame, Gunmetal Frame"
thread I,+$105,/product/art/MIN-FQW-DNA/thread-i?color=A&art_group=art_print&greeting=,N/A,images/thread_I.jpg,"Rich Black Wood Frame, White Wood Frame, Light Gray Wood Frame, Walnut Wood Frame, Whitewashed Herringbone, Brushed Silver, Champagne Silver, Matte Brass, Gilded Wood Frame, Gunmetal Frame"
thread III,+$105,/product/art/MIN-SL2-DNA/thread-iii?color=A&art_group=art_print&greeting=,N/A,images/thread_III.jpg,"Rich Black Wood Frame, White Wood Frame, Light Gray Wood Frame, Walnut Wood Frame, Whitewashed Herringbone, Brushed Silver, Champagne Silver, Matte Brass, Gilded Wood Frame, Gunmetal Frame"
Five O'Clock Somewhere (edition of 5),,/product/rare-limited-edition-fine-art-prints/MIN-007-ULE/five-oclock-somewhere-edition-of-5?color=A&greeting=,N/A,images/Five_O'Clock_Somewhere_(edition_of_5).jpg,
House Cat (edition of 5),,/product/rare-limited-edition-fine-art-prints/MIN-008-ULE/house-cat-edition-of-5?color=A&greeting=,N/A,images/House_Cat_(edition_of_5).jpg,
Cocktail (edition of 5),,/product/rare-limited-edition-fine-art-prints/MIN-009-ULE/cocktail-edition-of-5?color=A&greeting=,N/A,images/Cocktail_(edition_of_5).jpg,
Professor Z (edition of 5),,/product/rare-limited-edition-fine-art-prints/MIN-00A-ULE/professor-z-edition-of-5?color=A&greeting=,N/A,images/Professor_Z_(edition_of_5).jpg,
Hayes Valley II (edition of 5),,/product/rare-limited-edition-fine-art-prints/MIN-00B-ULE/hayes-valley-ii-edition-of-5?color=A&greeting=,N/A,images/Hayes_Valley_II_(edition_of_5).jpg,
"Take Off Your Cloud, Stay A While",+$151,/product/art/MIN-N4X-DNA/take-off-your-cloud-stay-a-while?color=A&art_group=canvas&greeting=,N/A,"images/Take_Off_Your_Cloud,_Stay_A_While.jpg","Black Wood Canvas Frame, Natural Raw Wood Canvas Frame, Walnut Finish Canvas Frame, Brass Canvas Frame, Rose Gold Canvas Frame"
Echoes I,+$153,/product/art/MIN-UJV-DNA/echoes-i?color=A&art_group=art_print&greeting=,N/A,images/Echoes_I.jpg,"Rich Black Wood Frame, White Wood Frame, Natural Raw Wood Frame, Light Gray Wood Frame, Walnut Wood Frame, Whitewashed Herringbone, Brushed Silver, Champagne Silver, Matte Brass, Gilded Wood Frame, Gunmetal Frame"
